id,label,kind,layer,country,ein,magnitude,flow_edges_out,given_usd_headline_sum,given_fmt,flow_edges_in,received_usd_headline_sum,received_fmt,notes_excerpt
dsa,Democratic Socialists of America,org,veneer,US,13-3109557,22.2,0,,,1,118.0,$118,"Via International Committee: credentialed VZ 'observers' 2021 & 2024 || US 501(c)(4); recipient of RLS-NYC training funding, personnel, strategic publications &"
german_gov,German Federal Government,concept,state,Germany,,,7,,,0,,,Bundestag appropriation; EUR 697M/yr (2023) to all 6 party foundations via 5 ministries; funding formula keyed to party electoral results
singham,Neville Roy Singham,person,money,,,20.0,6,,,0,,,"ThoughtWorks founder; married Jodie Evans (2017); China-resident (Shanghai). Apex funder of the network: >$20M to People's Forum (2017-2022), routed via People'"
answer,ANSWER Coalition,org,party,US,,,2,,,1,,,"Brian Becker, National Coordinator || Co-founded by Chuck Kaufman; PSL-aligned antiwar front"
hatuey,The Hatuey Project,project,center,,,,2,,,1,,,"Founded Apr 2022; Cuba ""medical aid""; no independent EIN; coordinator Gloria La Riva || International Solidarity · Far-left (pro-Cuba) · foreign-support:YES"
bap,Black Alliance for Peace,org,veneer,US,,16.8,1,,,0,,,"Co-sponsored AFGJ July 2021 Nicaragua delegation; VZ solidarity statements || us_501c3_active; report §V-VI, VII. Allied to NNOC — built the militarization-site"
brian_becker,Brian Becker,person,party,,,3.0,1,,,0,,,ANSWER National Coordinator; PSL co-founder; People's Forum instructor || Co-founder; Connected to Chinese Communist Party operations.
cuba,Cuba,concept,state,Cuba,,12.0,1,,,1,,,Cuba — foreign-state tie hub
iran,Islamic Republic of Iran (state),concept,state,Iran,,6.0,1,,,0,,,Iranian state hub node for generalized travel/access claims || Iran — foreign-state tie hub
rub_association_for_investment,Association for Investment in Popular Action Committees,org,context,,,19.2,1,,,0,,,us_501c3_active; report §VIII.
samidoun,Samidoun Palestinian Prisoner Solidarity Network,org,terror,,,,1,,,0,,,OFAC-designated Oct 15 2024 as a 'sham charity' PFLP fundraising front || Activism/Terrorism-linked · Far-left (PFLP-aligned) · foreign-support:YES
arlen_gomez,Arlen Benjamin-Gomez,person,money,,,16.0,0,,,0,,,"Secretary, Arc of Justice / Benjamin Fund, 2014-2018 (990-PF, listed as 'Arlen Gomez'). Medea Benjamin's elder daughter; JD NYU Law; currently Executive Directo"
balagun,Kazembe Balagun,person,money,,,2.0,0,,,0,,,"Project Manager North America/UN, RLS-NYC; formerly Education Coordinator at the Brecht Forum"
btm,BreakThrough News,org,money,,84-5071181,,0,,,2,,,
bugni,Renata Porto Bugni,person,money,,,5.0,0,,,0,,,Led CoronaShock and Patriarchy study; interviewed MST leader Neuri Rossetto; Involved in genocide denial activities.
c3misc,Affiliated 501(c)(3),org,money,,87-2461683,,0,,,0,,,
chanoine,Claudette Chanoine,person,money,,,1.0,0,,,0,,,"Financial Manager, RLS-NYC (2013-present); longest-serving staff — operational continuity across all directors"
chua,Heidi Chua,person,money,,,2.0,0,,,0,,,Office Manager RLS-NYC FY2013-2018 (~$60K/yr) -> DSA Assistant to National Director Jan 2019+; active DSA member while on RLS payroll
chung,David Sung Mo Chung,person,party,,,3.0,0,,,1,,,Executive Director; Potential unregistered foreign agent.
cultureproject,Culture Project,org,veneer,,13-3898892,,0,,,0,,,
danaher,Maya (Mandela) Danaher,person,money,,,16.0,0,,,0,,,"Treasurer, Arc of Justice / Benjamin Fund, all filing years (990-PF). Medea Benjamin's daughter. JD NYU Law 2018; Associate General Counsel, Citadel LLC (2025-p"
deborah_benjamin,Deborah Coyle Benjamin,person,money,,,16.0,0,,,0,,,Alvin Benjamin's second wife (m. ~2000); President of The Benjamin Companies since 2012. Not an AoJ officer. Named co-defendant with the Benjamin Fund in Unger 
dwilliams,David Williams,person,money,,,1.0,0,,,0,,,"Director, International Climate Justice Program, RLS-NYC; covered 2025 DSA Convention for rosalux.nyc"
earle,Ethan Earle,person,money,,,4.0,0,,,0,,,Project Manager RLS-NYC 2012-2019; concurrently DSA International Committee co-chair; PEL North America WG; O4P coordinator
ehmsen,Stefanie Ehmsen,person,money,,,1.0,0,,,0,,,Co-ED RLS-NYC (2013-2018); rotated from RLS Berlin executive board
ev_nica_delegation_2021,AFGJ Intl Delegation to Nicaragua (Jul 2021),concept,state,Nicaragua,,,0,,,2,,,AFGJ + ANSWER + Black Alliance for Peace; endorsed pre-election Sandinista govt
evans,Jodie Evans,person,money,,,24.0,0,,,0,,,"Co-founder CODEPINK (Nov 2002); President per 990 officer data 2019-2022. Also President, People's Support Foundation (Singham vehicle, EIN 82-1202926). Married"
fes,Friedrich Ebert Stiftung Inc (FES),org,money,Germany,13-3173769,,0,,,1,,,SPD-affiliated; ~$1.23M FY2024; transatlantic policy/labor
fns,Friedrich Naumann Foundation (FNS),org,money,Germany,,,0,,,1,,,"FDP-affiliated; trade/free markets; HAS a US 501(c)(3) presence — Friedrich Naumann Foundation North America (EIN 52-1758591, Washington DC), running Transatlan"
gbi,General Baker Institute,org,party,,81-1174658,,0,,,0,,,
ghost_officers,Ghost Officers (5 unidentified signers),concept,money,,,16.0,0,,,0,,,"Form 990-PF signature blocks for Arc of Justice (fka The Benjamin Fund, EIN 84-1618483) FY2006-2012 were signed by individuals who do not match the officers for"
gunther,Andreas Günther,person,money,,,2.0,0,,,0,,,"Head of Office, RLS-NYC (2018–2024); former Director of International Policy, Die Linke"
hbs,Heinrich Boell Foundation (HBS),org,money,Germany,52-2168529,,0,,,1,,,Greens-affiliated; ~$1.78M FY2024; climate/democracy/gender
hss,Hanns Seidel Foundation USA (HSS),org,money,Germany,51-0635136,,0,,,1,,,CSU-affiliated; security/dialogue
hu,Rachel Hu,person,money,,,6.0,0,,,0,,,National organizer and educator on 'radical organizing in the Asian American community' [Source: https://www.liberationschool.org/class-the-legacy-of-asian-amer
hub_occupy_wall_street,Occupy Wall Street,org,party,,,3.0,0,,,1,,,Interlock hub — cited in 3 AFGJ-project people's bios
inv_juan_ruiz_rivera_brigade,"""Juan Ruiz Rivera"" Puerto Rican Solidarity Brigade",org,money,,,,0,,,0,,,"foreign_solidarity (inversion pass). 35th ""Juan Ruiz Rivera"" Puerto Rican solidarity brigade inaugurated at ICAP's Julio Antonio Mella International Camp (Aug 2"
ipa,International Peoples' Assembly,concept,party,Venezuela,,,0,,,1,,,Founded Caracas Feb 2019; Tricontinental/People's Forum-anchored convening network
ips,Institute for Policy Studies,org,veneer,US,52-0788947,,0,,,0,,,US left think tank; staff participated in RLS-NYC convenings
irgens_moller,Kirsten Irgens-Moller,person,money,,,18.0,0,,,0,,,"Danish-born Global Exchange co-founder/ED (1988-2011), later Secretary. Only compensated Benjamin Fund officer (Secretary, $10K/yr FY2006-2013); lived at Benjam"
jacobin,Jacobin,org,veneer,US,,,0,,,1,,,"Left media, founded by Sunkara; co-sponsored RLS-NYC events; co-commissioned Nov 2025 poll; editorially intertwined with DSA || media_llc; report §I-III. 2026 a"
jonathan_raggett,Jonathan 'Jonny' Raggett,person,money,,,16.0,0,,,0,,,"Secretary, Arc of Justice / Benjamin Fund, 2019-present (990-PF). Maya Danaher's partner. VP Strategic Partnerships, Via Transportation."
kas,Konrad Adenauer Stiftung Inc (KAS),org,money,Germany,81-4628400,,0,,,1,,,CDU-affiliated; ~$882K FY2024; transatlantic relations
liebich,Stefan Liebich,person,money,,,3.0,0,,,0,,,"ED RLS-NYC (2023+); Die Linke Bundestag 2009-2021, foreign-affairs group chair; wrote '100 Days of Mayor Mamdani'"
mfernandez,Mariana Fernandez,person,money,,,1.0,0,,,0,,,"Staff/Program Manager, RLS-NYC; authored 'Cuba Is Being Strangled' (RLS-NYC, published Mar 27, 2026), a piece on the U.S. blockade of Cuba"
minsap,MINSAP (Cuban Health Ministry),org,state,,,,0,,,1,,,Aldo Grandal; C.A. Martinez Blanco
nmeyer,Neal Meyer,person,money,,,2.0,0,,,0,,,Assistant Office Manager RLS-NYC (in 990-PF) + DSA Bread & Roses lead organizer + NYC-DSA treasurer 2016-2018
o4p,Organizing for Power (O4P),project,money,,,,0,,,0,,,"RLS global training program (not a separate legal entity); 40,000+ organizers / 1,800+ orgs / 115 countries since 2019; run by Earle"
p_411_collective,411 Collective,project,veneer,,,,0,,,1,,,Art · Anti-capitalist; pluralist
p_action_bail_fund,Action Bail Fund,project,party,,,,0,,,1,,,Bail · Left-wing (general) · antifa:YES · foreign-support:YES
p_adastra,AdAstra,project,party,,,,0,,,1,,,Administrative · Left-wing (general) · antifa:YES
p_african_awareness_association,African Awareness Association,project,state,,,,0,,,1,,,Travel · Communist · foreign-support:YES
p_alianza_ind_gena_sin_fronteras_indigen,Alianza Indígena Sin Fronteras / Indigenous Alliance Without Borders,project,state,,,,0,,,1,,,Immigration · foreign-support:YES
p_amigos_de_la_playa,Amigos de la Playa,project,veneer,,,,0,,,1,,,Environmental
p_arizona_educators_united,Arizona Educators United,project,veneer,,,,0,,,1,,,Education · Left-wing (labor)
p_arizona_palestine_solidarity_alliance,Arizona Palestine Solidarity Alliance,project,state,,,,0,,,1,,,Collective · Anti-Israel · foreign-support:YES
p_asotrecol,ASOTRECOL,project,state,,,,0,,,1,,,Union · Labor rights · foreign-support:YES
p_assata_s_daughters,Assata’s Daughters,project,party,,,,0,,,1,,,Training · antifa:YES || us_501c3_active; report §V-VI. One-hop interlock only: Assata's Daughters is a fiscally-sponsored project of the Alliance for Global Ju
p_az_jobs_with_justice,AZ Jobs with Justice,project,veneer,,,,0,,,1,,,Labor union-aligned coalition · Left-of-center
p_beef_relief,Beef Relief,project,veneer,,,,0,,,1,,,Food Bank · Non-partisan
p_black_and_pink_ma,Black and Pink MA,project,veneer,,,,0,,,1,,,Activism · Left-wing (social justice)
p_black_lives_matter_oklahoma_city,Black Lives Matter-Oklahoma City,project,party,,,,0,,,1,,,Activism · Left-wing (racial justice) · antifa:MAYBE
p_black_lives_matter_tucson,Black Lives Matter Tucson,project,party,,,,0,,,1,,,Activism · Left-wing (racial justice) · antifa:MAYBE
p_black_movement_law_project,Black Movement Law Project,project,veneer,,,,0,,,1,,,Legal
p_black_trans_media,Black Trans Media,project,veneer,,,,0,,,2,,,Art · Left-wing (identity politics)
p_black_trans_travel_fund,Black Trans Travel Fund,project,veneer,,,,0,,,2,,,Travel · Left-wing (identity politics)
p_bukit_bail_fund_of_pittsburgh,Bukit Bail Fund of Pittsburgh,project,party,,,,0,,,1,,,Bail · Left-wing (criminal justice) · antifa:MAYBE
p_bv_solidarity_project,BV Solidarity Project,project,state,,,,0,,,1,,,Activism · foreign-support:YES
p_camino_com_n,Camino Común,project,state,,,,0,,,1,,,· foreign-support:YES
p_central_ohio_freedom_fund,Central Ohio Freedom Fund,project,veneer,,,,0,,,1,,,Bail · Left-wing (criminal justice)
p_centro_de_derechos_humanos_del_pac_fic,Centro de Derechos Humanos del Pacífico (Centro Pazífico),project,state,,,,0,,,1,,,Activism · Marxist · foreign-support:YES
p_centro_solidario_de_puerto_rico,Centro Solidario de Puerto Rico,project,veneer,,,,0,,,1,,,Collective
p_change_links_newspaper,Change-Links Newspaper,project,party,,,,0,,,1,,,Media · Anti-fascist leaning · antifa:YES
p_chicago_housing_initiative,Chicago Housing Initiative,project,veneer,,,,0,,,1,,,Housing · Left-wing (economic justice)
p_chicago_housing_justice_league,Chicago Housing Justice League,project,veneer,,,,0,,,1,,,Housing · Left-wing (economic justice)
p_chico_mendes_reforestation_project,Chico Mendes Reforestation Project,project,state,,,,0,,,1,,,Environmental · Left-wing (environmental) · foreign-support:YES
p_cindy_sheehan_s_soapbox,Cindy Sheehan’s Soapbox,project,veneer,,,,0,,,1,,,Media/Activism · Far-left (anti-imperialist)
p_clean_up_the_mines,Clean up the Mines,project,veneer,,,,0,,,1,,,Environmental · Environmental/Indigenous rights
p_coalition_of_women_for_peace,Coalition of Women for Peace,project,state,,,,0,,,2,,,Peace/Activism · Left-wing (anti-occupation) · foreign-support:YES
p_colorado_freedom_fund,Colorado Freedom Fund,project,veneer,,,,0,,,1,,,Bail · Left-wing (criminal justice)
p_community_action_relief_project,Community Action Relief Project,project,veneer,,,,0,,,1,,,Mutual Aid · Left-wing (mutual aid)
p_corporate_genome_project,Corporate Genome Project,project,veneer,,,,0,,,1,,,Research · Left-wing (anti-corporate)
p_creating_a_more_beloved_community_film,Creating a More Beloved Community Film & Discussion Series,project,veneer,,,,0,,,1,,,Education/Media · Left-wing (racial justice)
p_denver_justice_project,Denver Justice Project,project,veneer,,,,0,,,1,,,Criminal Justice · Left-wing (criminal justice)
p_erie_bail_fund,Erie Bail Fund,project,veneer,,,,0,,,1,,,Bail · Left-wing (criminal justice)
p_eritye_papa_desalin,Eritye Papa Desalin,project,state,,,,0,,,1,,,Activism · Left-wing (anti-imperialist) · foreign-support:YES
p_free_mumia_abu_jamal_coalition,Free Mumia Abu-Jamal Coalition,project,party,,,,0,,,1,,,"Legal/Activism · Far-left (anti-police, revolutionary) · antifa:MAYBE · foreign-support:YES"
p_friends_of_asociaci_n_de_trabajadores_,Friends of Asociación de Trabajadores Campesinos,project,state,,,,0,,,1,,,Labor/Solidarity · Left-wing (labor/solidarity) · foreign-support:YES
p_friends_of_gente_de_i_itoi_a_c,"Friends of Gente de I’itoi, A.C.",project,state,,,,0,,,1,,,Indigenous · Indigenous rights · foreign-support:YES
p_friends_of_mujeres_de_la_tierra,Friends of Mujeres de la Tierra,project,state,,,,0,,,1,,,Women/Environmental · Left-wing (feminist/environmental) · foreign-support:YES
p_gno_interfaith_sanctuary_coalition,GNO Interfaith Sanctuary Coalition,project,veneer,,,,0,,,1,,,Immigration · Left-wing (immigrant rights)
p_good_shepherd_collective,Good Shepherd Collective,project,veneer,,,,0,,,2,,,Immigration/Humanitarian · Left-wing (immigrant rights)
p_hampshire_college_legal_support_fund,Hampshire College Legal Support Fund,project,party,,,,0,,,1,,,Legal · Left-wing · antifa:MAYBE
p_hands_up_united,Hands Up United,project,veneer,,,,0,,,1,,,Activism · Left-wing (racial justice)
p_honduras_solidarity_network,Honduras Solidarity Network,project,state,,,,0,,,1,,,International Solidarity · Left-wing (anti-imperialist) · foreign-support:YES
p_human_rights_school,Human Rights School,project,veneer,,,,0,,,1,,,Education · Left-wing
p_initiative_for_equality,Initiative for Equality,project,veneer,,,,0,,,1,,,Research/Advocacy · Left-wing (economic justice)
p_instituto_agroecol_gico_latinoamerican,Instituto Agroecológico Latinoamericano–Mesoamericana (IALA Mesoamerica),project,state,,,,0,,,1,,,Agriculture/Education · Left-wing (agrarian) · foreign-support:YES
p_international_indigenous_initiative_fo,InterNational Indigenous Initiative for Transformative Collaboration,project,veneer,,,,0,,,1,,,Indigenous · Indigenous rights
p_international_journal_of_foreign_langu,International Journal of Foreign Language Teaching,project,veneer,,,,0,,,1,,,Academic · Non-partisan (academic)
p_international_people_s_tribunal,International People’s Tribunal,project,state,,,,0,,,2,,,Legal/Advocacy · Far-left (anti-imperialist) · foreign-support:YES
p_interoccupy,InterOccupy,project,party,,,,0,,,1,,,Activism · Far-left (anti-capitalist) · antifa:MAYBE
p_irish_diaspora_decolonization_alliance,Irish Diaspora Decolonization Alliance,project,state,,,,0,,,1,,,Activism · Far-left (anti-colonial) · foreign-support:YES
p_just_info,Just Info,project,party,,,,0,,,1,,,Legal · Left-wing (civil liberties) · antifa:MAYBE
p_justice_for_all_coalition,Justice for All Coalition,project,veneer,,,,0,,,1,,,Activism · Left-wing (criminal justice)
p_juthour_arboretum,Juthour Arboretum,project,state,,,,0,,,1,,,Environmental/Cultural · Pro-Palestinian · foreign-support:YES
p_kevin_zeese_emerging_activists_fund,Kevin Zeese Emerging Activists Fund,project,veneer,,,,0,,,1,,,Funding · Far-left (anti-imperialist)
p_kindred_connections,Kindred Connections,project,veneer,,,,0,,,1,,,LGBTQ · Left-wing (identity politics)
p_la_colectiva,La ColectiVA,project,veneer,,,,0,,,1,,,Immigration · Left-wing (immigrant rights)
p_labor_against_racism_and_war,Labor Against Racism and War,project,party,,,,0,,,1,,,Labor/Activism · Far-left (anti-imperialist labor) · antifa:MAYBE · foreign-support:YES
p_lancaster_bail_fund,Lancaster Bail Fund,project,veneer,,,,0,,,1,,,Bail · Left-wing (criminal justice)
p_legal_defense_for_palestine,Legal Defense for Palestine,project,state,,,,0,,,1,,,Legal · Pro-Palestinian · foreign-support:YES
p_lgbt_freedom_and_asylum_network,LGBT Freedom and Asylum Network,project,veneer,,,,0,,,1,,,Immigration/LGBTQ · Left-wing (immigrant/LGBTQ rights)
p_lgbt_voice_tanzania,LGBT Voice Tanzania,project,state,,,,0,,,1,,,LGBTQ · Left-wing (LGBTQ rights) · foreign-support:YES
p_lo_eterno_media_collective,Lo Eterno Media Collective,project,veneer,,,,0,,,1,,,Media/Arts · Left-wing (anti-imperialist)
p_los_angeles_community_action_network,Los Angeles Community Action Network,project,state,,,,0,,,1,,,Protest Organization · foreign-support:YES
p_lupinewood,Lupinewood,project,veneer,,,,0,,,1,,,Environmental/Community · Left-wing (environmental)
p_march_4_racial_justice,March 4 Racial Justice,project,party,,,,0,,,1,,,Activism · Left-wing (racial justice) · antifa:MAYBE
p_march_4_racial_justice_ny,March 4 Racial Justice NY,project,party,,,,0,,,1,,,Activism · Left-wing (racial justice) · antifa:MAYBE
p_miracle_for_mikeals_legacy_foundation,Miracle For Mikeals Legacy Foundation,project,veneer,,,,0,,,1,,,Health/Charity · Non-partisan
p_mosaic_black_trans_funding_network,Mosaic Black Trans Funding Network,project,veneer,,,,0,,,1,,,LGBTQ/Funding · Left-wing (identity politics)
p_movement_net_lab,Movement Net Lab,project,veneer,,,,0,,,1,,,Research/Technology · Left-wing
p_nappy_roots_books,Nappy Roots Books,project,veneer,,,,0,,,1,,,Education/Publishing · Left-wing (cultural)
p_national_association_of_human_rights_d,National Association of Human Rights Defenders,project,veneer,,,,0,,,1,,,Human Rights · Left-wing (human rights)
p_national_immigrant_solidarity_network,National Immigrant Solidarity Network,project,state,,,,0,,,1,,,Immigration · Far-left (open borders) · foreign-support:YES
p_national_network_opposing_the_militari,National Network Opposing the Militarization of Youth,project,veneer,,,,0,,,1,,,Anti-war · Left-wing (anti-war)
p_never_again_action,Never Again Action,project,veneer,,,,0,,,1,,,Immigration/Activism · Left-wing (immigrant rights)
p_nicaragua_solidarity_fund,Nicaragua Solidarity Fund,project,state,,,,0,,,1,,,International Solidarity · Far-left (pro-Sandinista) · foreign-support:YES
p_o_odham_anti_border_collective,O’odham Anti Border Collective,project,party,,,,0,,,1,,,Indigenous/Immigration · Far-left (indigenous/anti-border) · antifa:MAYBE
p_orinoco_tribune,Orinoco Tribune,project,state,Venezuela,,,0,,,1,,,Media · Far-left (Chavista/Bolivarian) · foreign-support:YES
p_otros_mundos_a_c,Otros Mundos A.C.,project,state,,,,0,,,1,,,Environmental/Social Justice · Far-left (anti-capitalist/environmental) · foreign-support:YES
p_peace_education,Peace Education,project,veneer,,,,0,,,1,,,Education · Left-wing (peace)
p_people_helping_people,People Helping People,project,veneer,,,,0,,,1,,,Humanitarian · Humanitarian
p_philly_thrive,Philly Thrive,project,veneer,,,,0,,,1,,,Environmental Justice · Left-wing (environmental justice)
p_poor_people_s_economic_human_rights_ca,Poor People’s Economic Human Rights Campaign,project,veneer,,,,0,,,1,,,Economic Justice · Far-left (anti-capitalist)
p_popular_resistance,Popular Resistance,project,party,,,,0,,,1,,,Media/Activism · Far-left (anti-imperialist) · antifa:MAYBE · foreign-support:YES
p_pueblo_sin_fronteras,Pueblo Sin Fronteras,project,state,,,,0,,,1,,,Immigration · Far-left (open borders) · foreign-support:YES
p_queer_food_foundation,Queer Food Foundation,project,veneer,,,,0,,,1,,,Food Justice/LGBTQ · Left-wing (identity politics/food justice)
p_radical_bloggers_fund,Radical Bloggers Fund,project,party,,,,0,,,1,,,Media/Funding · Far-left · antifa:MAYBE
p_real_food_generation,Real Food Generation,project,veneer,,,,0,,,1,,,Food Justice · Left-wing (food justice)
p_real_name_campaign_nola,Real Name Campaign NOLA,project,veneer,,,,0,,,1,,,Criminal Justice · Left-wing (criminal justice)
p_reale_justice_network,Reale Justice Network,project,veneer,,,,0,,,1,,,Criminal Justice · Left-wing (criminal justice)
p_reconnect_earth,Reconnect Earth,project,veneer,,,,0,,,1,,,Environmental · Left-wing (environmental)
p_red_de_solidaridad,Red de Solidaridad,project,state,,,,0,,,1,,,International Solidarity · Far-left (anti-imperialist) · foreign-support:YES
p_refuse_fascism,Refuse Fascism,project,party,,,,0,,,1,,,Activism · Far-left (revolutionary communist) · antifa:YES
p_return_solidarity,Return Solidarity,project,state,,,,0,,,1,,,International Solidarity · Pro-Palestinian · foreign-support:YES
p_reuniting_of_african_descendants_road,Reuniting of African Descendants (ROAD),project,veneer,,,,0,,,1,,,Pan-African · Left-wing (Pan-African)
p_solidarity_ignite,Solidarity Ignite,project,veneer,,,,0,,,1,,,Activism · Left-wing
p_south_bronx_unite,South Bronx Unite,project,veneer,,,,0,,,1,,,Environmental Justice · Left-wing (environmental justice)
p_splitseed_productions,SplitSeed Productions,project,veneer,,,,0,,,1,,,Media/Arts · Left-wing
p_stop_mass_incarceration_network,Stop Mass Incarceration Network,project,party,,,,0,,,1,,,Criminal Justice · Far-left (revolutionary) · antifa:YES
p_suriname_indigenous_health_fund,Suriname Indigenous Health Fund,project,state,,,,0,,,1,,,Health/Indigenous · Non-partisan (health) · foreign-support:YES
p_sustainable_nations,Sustainable Nations,project,veneer,,,,0,,,1,,,Environmental/Indigenous · Left-wing (environmental/indigenous)
p_sustainable_orphanages_for_haitian_you,Sustainable Orphanages for Haitian Youth,project,state,,,,0,,,1,,,Charity · Non-partisan (charity) · foreign-support:YES
p_ta_ayush,Ta’ayush,project,state,,,,0,,,1,,,Peace/Activism · Left-wing (anti-occupation) · foreign-support:YES
p_taking_black_pride,Taking Black Pride,project,veneer,,,,0,,,1,,,LGBTQ/Cultural · Left-wing (identity politics)
p_the_l_i_c_project,The L.I.C. Project,project,veneer,,,,0,,,1,,,Community/Arts · Left-wing
p_thompson_house_tucson,Thompson House Tucson,project,veneer,,,,0,,,1,,,Community Space · Left-wing
p_trans_women_of_color_solidarity_networ,Trans Women of Color Solidarity Network,project,veneer,,,,0,,,1,,,LGBTQ · Left-wing (identity politics)
p_ubuntu,UBUNTU,project,veneer,,,,0,,,1,,,Pan-African/Community · Left-wing (Pan-African)
p_unir,UNIR,project,state,,,,0,,,1,,,International Solidarity · Left-wing (solidarity) · foreign-support:YES
p_united_students_against_sweatshops,United Students Against Sweatshops,project,state,,,,0,,,1,,,Labor/Student · Left-wing (labor) · foreign-support:YES
p_upland_grassroots,Upland Grassroots,project,veneer,,,,0,,,1,,,Environmental · Environmental
p_werk_for_peace,WERK for Peace,project,veneer,,,,0,,,1,,,LGBTQ/Peace · Left-wing (LGBTQ/peace)
p_white_noise_collective,White Noise Collective,project,party,,,,0,,,1,,,Activism · Far-left (anti-racist) · antifa:MAYBE
p_woodbine_education_center,Woodbine Education Center,project,party,,,,0,,,1,,,Education/Community · Far-left (anarchist/autonomous) · antifa:YES
