edge_idx,funder,funder_label,recipient,recipient_label,relation,confidence,slices,label,headline_usd,headline_fmt,all_amounts,flags,compiler_caveat,url
45,afgj,Alliance for Global Justice,p_free_mumia_abu_jamal_coalition,Free Mumia Abu-Jamal Coalition,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Legal/Activism),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
46,afgj,Alliance for Global Justice,p_friends_of_asociaci_n_de_trabajadores_,Friends of Asociación de Trabajadores Campesinos,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Labor/Solidarity),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
47,afgj,Alliance for Global Justice,p_friends_of_gente_de_i_itoi_a_c,"Friends of Gente de I’itoi, A.C.",fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Indigenous),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
48,afgj,Alliance for Global Justice,p_friends_of_mujeres_de_la_tierra,Friends of Mujeres de la Tierra,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Women/Environmental),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
49,afgj,Alliance for Global Justice,p_gno_interfaith_sanctuary_coalition,GNO Interfaith Sanctuary Coalition,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Immigration),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
50,afgj,Alliance for Global Justice,p_good_shepherd_collective,Good Shepherd Collective,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Immigration/Humanitarian),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
51,afgj,Alliance for Global Justice,p_hampshire_college_legal_support_fund,Hampshire College Legal Support Fund,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Legal),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
52,afgj,Alliance for Global Justice,p_hands_up_united,Hands Up United,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Activism),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
53,afgj,Alliance for Global Justice,p_honduras_solidarity_network,Honduras Solidarity Network,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (International Solidarity),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
54,afgj,Alliance for Global Justice,p_human_rights_school,Human Rights School,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Education),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
55,afgj,Alliance for Global Justice,p_initiative_for_equality,Initiative for Equality,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Research/Advocacy),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
56,afgj,Alliance for Global Justice,p_instituto_agroecol_gico_latinoamerican,Instituto Agroecológico Latinoamericano–Mesoamericana (IALA Mesoamerica),fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Agriculture/Education),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
57,afgj,Alliance for Global Justice,p_international_indigenous_initiative_fo,InterNational Indigenous Initiative for Transformative Collaboration,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Indigenous),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
58,afgj,Alliance for Global Justice,p_international_journal_of_foreign_langu,International Journal of Foreign Language Teaching,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Academic),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
59,afgj,Alliance for Global Justice,p_international_people_s_tribunal,International People’s Tribunal,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Legal/Advocacy),,,,,,https://sanctionstribunal.org
60,afgj,Alliance for Global Justice,p_interoccupy,InterOccupy,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Activism),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
61,afgj,Alliance for Global Justice,p_irish_diaspora_decolonization_alliance,Irish Diaspora Decolonization Alliance,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Activism),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
62,afgj,Alliance for Global Justice,p_just_info,Just Info,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Legal),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
63,afgj,Alliance for Global Justice,p_justice_for_all_coalition,Justice for All Coalition,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Activism),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
64,afgj,Alliance for Global Justice,p_juthour_arboretum,Juthour Arboretum,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Environmental/Cultural),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
65,afgj,Alliance for Global Justice,p_kevin_zeese_emerging_activists_fund,Kevin Zeese Emerging Activists Fund,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Funding),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
66,afgj,Alliance for Global Justice,p_kindred_connections,Kindred Connections,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (LGBTQ),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
67,afgj,Alliance for Global Justice,p_la_colectiva,La ColectiVA,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Immigration),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
68,afgj,Alliance for Global Justice,p_labor_against_racism_and_war,Labor Against Racism and War,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Labor/Activism),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
69,afgj,Alliance for Global Justice,p_lancaster_bail_fund,Lancaster Bail Fund,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Bail),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
70,afgj,Alliance for Global Justice,p_legal_defense_for_palestine,Legal Defense for Palestine,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Legal),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
71,afgj,Alliance for Global Justice,p_lgbt_freedom_and_asylum_network,LGBT Freedom and Asylum Network,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Immigration/LGBTQ),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
72,afgj,Alliance for Global Justice,p_lgbt_voice_tanzania,LGBT Voice Tanzania,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (LGBTQ),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
73,afgj,Alliance for Global Justice,p_lo_eterno_media_collective,Lo Eterno Media Collective,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Media/Arts),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
74,afgj,Alliance for Global Justice,p_los_angeles_community_action_network,Los Angeles Community Action Network,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Protest Organization),,,,,,https://keywiki.org/Lee_Siu_Hin
75,afgj,Alliance for Global Justice,p_lupinewood,Lupinewood,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Environmental/Community),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
76,afgj,Alliance for Global Justice,p_march_4_racial_justice,March 4 Racial Justice,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Activism),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
77,afgj,Alliance for Global Justice,p_march_4_racial_justice_ny,March 4 Racial Justice NY,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Activism),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
78,afgj,Alliance for Global Justice,p_miracle_for_mikeals_legacy_foundation,Miracle For Mikeals Legacy Foundation,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Health/Charity),,,,,,https://www.facebook.com/MikealsMiracleDIPGCure
79,afgj,Alliance for Global Justice,p_mosaic_black_trans_funding_network,Mosaic Black Trans Funding Network,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (LGBTQ/Funding),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
80,afgj,Alliance for Global Justice,p_movement_net_lab,Movement Net Lab,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Research/Technology),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
81,afgj,Alliance for Global Justice,p_nappy_roots_books,Nappy Roots Books,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Education/Publishing),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
82,afgj,Alliance for Global Justice,p_national_association_of_human_rights_d,National Association of Human Rights Defenders,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Human Rights),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
83,afgj,Alliance for Global Justice,p_national_immigrant_solidarity_network,National Immigrant Solidarity Network,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Immigration),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
84,afgj,Alliance for Global Justice,p_national_network_opposing_the_militari,National Network Opposing the Militarization of Youth,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Anti-war),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
85,afgj,Alliance for Global Justice,p_never_again_action,Never Again Action,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Immigration/Activism),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
86,afgj,Alliance for Global Justice,p_nicaragua_solidarity_fund,Nicaragua Solidarity Fund,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (International Solidarity),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
87,afgj,Alliance for Global Justice,p_o_odham_anti_border_collective,O’odham Anti Border Collective,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Indigenous/Immigration),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
88,afgj,Alliance for Global Justice,p_orinoco_tribune,Orinoco Tribune,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Media),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
