event,event_label,participant,participant_label,participant_kind,relation,confidence,edge_label
ev_vz_election_2024,Venezuela Presidential Election (Jul 28 2024),answer,ANSWER Coalition,org,endorsed,confirmed,statement signatory
ev_vz_election_2024,Venezuela Presidential Election (Jul 28 2024),afgj,Alliance for Global Justice,org,accompanied,confirmed,organized 17-person accompaniment (Jul 21-31)
ev_vz_election_2024,Venezuela Presidential Election (Jul 28 2024),afgj,Alliance for Global Justice,org,endorsed,confirmed,statement signatory
ev_vz_election_2024,Venezuela Presidential Election (Jul 28 2024),bap,Black Alliance for Peace,org,endorsed,confirmed,statement signatory
ev_vz_election_2024,Venezuela Presidential Election (Jul 28 2024),codepink,CODEPINK,org,endorsed,confirmed,statement signatory
ev_vz_election_2024,Venezuela Presidential Election (Jul 28 2024),dsa,Democratic Socialists of America,org,endorsed,confirmed,statement signatory
ev_vz_election_2024,Venezuela Presidential Election (Jul 28 2024),dsa,Democratic Socialists of America,org,observed,confirmed,credentialed observers (DSA Intl Committee)
ev_vz_election_2024,Venezuela Presidential Election (Jul 28 2024),nlg,National Lawyers Guild,org,observed,confirmed,5-person observer delegation
ev_vz_election_2024,Venezuela Presidential Election (Jul 28 2024),psl,Party for Socialism & Liberation,org,endorsed,confirmed,statement signatory
ev_vz_election_2024,Venezuela Presidential Election (Jul 28 2024),tfa,Task Force on the Americas,org,endorsed,confirmed,statement signatory
ev_vz_election_2024,Venezuela Presidential Election (Jul 28 2024),pf,The People's Forum,org,convened_solidarity,confirmed,hosted 41-org sign-on (Jul 27 2024)
ev_vz_election_2024,Venezuela Presidential Election (Jul 28 2024),uspc,US Peace Council,org,observed,confirmed,observers Harris + Azad
ev_vz_election_2024,Venezuela Presidential Election (Jul 28 2024),vsn,Venezuela Solidarity Network,org,endorsed,confirmed,statement signatory
ev_vz_election_2024,Venezuela Presidential Election (Jul 28 2024),clarkgollub,Jill Clark-Gollub,person,accompanied,confirmed,AFGJ delegate
ev_vz_election_2024,Venezuela Presidential Election (Jul 28 2024),delossantos,Manolo de los Santos,person,monitored,inferred,described as 'election monitor' (unverified-verbatim)
ev_vz_election_2024,Venezuela Presidential Election (Jul 28 2024),nunez,Marlon Matthew Nunez,person,accompanied,confirmed,AFGJ delegate
ev_vz_election_2024,Venezuela Presidential Election (Jul 28 2024),harris,Roger D. Harris,person,observed,confirmed,eyewitness observer
ev_vz_election_2024,Venezuela Presidential Election (Jul 28 2024),kuang,Savannah Kuang,person,claimed_accredited,inferred,sole claimed accredited (single opinion source)
ev_vz_election_2024,Venezuela Presidential Election (Jul 28 2024),camacaro,William Camacaro,person,accompanied,confirmed,AFGJ delegate
ev_vz_election_2024,Venezuela Presidential Election (Jul 28 2024),souers,Wyatt Souers,person,accompanied,confirmed,IPA accompanier
ev_wfys_2005,16th World Festival of Youth & Students (Caracas 2005),psl,Party for Socialism & Liberation,org,attended,confirmed,delegation (700 US delegates)
ev_wfys_2005,16th World Festival of Youth & Students (Caracas 2005),wfdy,World Federation of Democratic Youth,org,organized,confirmed,organizer
ev_wfys_2005,16th World Festival of Youth & Students (Caracas 2005),ben_becker,Ben Becker,person,led,confirmed,authored PSL delegation report
