id,label,kind,primary_slice,declared_country,final_country,place,method,matched_text,ambiguous
hub_hugo_chavez,Hugo Chavez,person,afgj-interlock,Venezuela,Venezuela,,declared,,
ipa,International Peoples' Assembly,concept,latam-solidarity,Venezuela,Venezuela,,declared,,
maduro,Nicolás Maduro,person,latam-solidarity,Venezuela,Venezuela,,declared,,
p_orinoco_tribune,Orinoco Tribune,project,afgj-interlock,Venezuela,Venezuela,,declared,,
ron,Carlos Ron,person,rubio-cuba,Venezuela,Venezuela,,declared,,
venezuela,Venezuela,concept,singham-spine,Venezuela,Venezuela,,declared,,
rub_zimbabwe_african_people_s,Zimbabwe African People's Union,org,rubio-cuba,Zimbabwe,Zimbabwe,,declared,,
arc_of_justice,"Arc of Justice (fka Benjamin Fund, Inc.)",org,iran-network,,US,,ein_us,84-1618483,
btm,BreakThrough News,org,singham-spine,,US,,ein_us,84-5071181,
c3misc,Affiliated 501(c)(3),org,singham-spine,,US,,ein_us,87-2461683,
cultureproject,Culture Project,org,singham-spine,,US,,ein_us,13-3898892,
gbi,General Baker Institute,org,singham-spine,,US,,ein_us,81-1174658,
global_exchange,Global Exchange,org,iran-network,,US,,ein_us,94-3066686,
grassroots_intl,Grassroots International,org,iran-network,,US,,ein_us,04-2791159,
jef,Justice and Education Fund (JEF),org,iran-network,,US,,ein_us,82-4975378,
pi,Progressive International,org,rls-germany,,US,,ein_us,93-3021918,
psf,People's Support Foundation (PSF),org,iran-network,,US,,ein_us,82-1202926,
puf,Progress Unity Fund,org,singham-spine,,US,,ein_us,94-3382208,
pwa,People's Welfare Association,org,singham-spine,,US,,ein_us,83-4705654,
social_good_fund,Social Good Fund,org,iran-network,,US,,ein_us,46-1323531,
ucf,United Community Fund,org,singham-spine,,US,,ein_us,37-1913339,
uts,Union Theological Seminary,org,singham-spine,,US,,ein_us,13-1624238,
icap,ICAP,org,hatuey,,US,,us_501c_text,501(c)(3),
krouth,Kristine Teresa Krouth,person,singham-spine,,US,,us_501c_text,501(c)(4),
p_assata_s_daughters,Assata’s Daughters,project,afgj-interlock,,US,,us_501c_text,us_501c,
rub_amazon_labor_union,Amazon Labor Union,org,rubio-cuba,,US,,us_501c_text,501c5,
rub_association_for_investment,Association for Investment in Popular Action Committees,org,rubio-cuba,,US,,us_501c_text,us_501c,
rub_black_lives_matter_at_scho,Black Lives Matter at School,org,rubio-cuba,,US,,us_501c_text,us_501c,
rub_black_lives_matter_global,Black Lives Matter Global Network Foundation,org,rubio-cuba,,US,,us_501c_text,us_501c,
rub_black_lives_matter_grassro,Black Lives Matter Grassroots,org,rubio-cuba,,US,,us_501c_text,us_501c,
rub_claudia_jones_school,Claudia Jones School,org,rubio-cuba,,US,,us_501c_text,501(c)(3),
rub_communist_party_usa,Communist Party USA,org,rubio-cuba,,US,,us_501c_text,501(c)(3),
rub_ifco_pastors_for_peace,IFCO / Pastors for Peace,org,rubio-cuba,,US,,us_501c_text,us_501c,
rub_naacp,NAACP,org,rubio-cuba,,US,,us_501c_text,us_501c,
rub_nation_of_islam,Nation of Islam,org,rubio-cuba,,US,,us_501c_text,us_501c,
rub_national_conference_of_bla,National Conference of Black Lawyers,org,rubio-cuba,,US,,us_501c_text,us_501c,
rub_thousand_currents,Thousand Currents,org,rubio-cuba,,US,,us_501c_text,us_501c,
rub_witness_for_peace_solidari,Witness for Peace Solidarity Collective,org,rubio-cuba,,US,,us_501c_text,us_501c,
singham,Neville Roy Singham,person,hatuey,,China,China,city_in_notes,Shanghai,
singham_shanti,Shanti Singham,person,singham-spine,,China,China,city_in_notes,Beijing,
rub_m_19,M-19,org,rubio-cuba,,Colombia,Bogota,city_in_notes,Bogotá,
rhc,Radio Havana Cuba / Prensa Latina / Granma,org,hatuey,,Cuba,Havana,city_in_notes,Havana,
stein,Abby Stein (JVP Rabbinical Council),person,iran-network,,Iran,Tehran,city_in_notes,tehran,
theoharis,Rev. Dr. Elizabeth Armen Liz Theoharis,person,singham-spine,,Palestine,Palestine,city_in_notes,Gaza,
arlen_gomez,Arlen Benjamin-Gomez,person,iran-network,,US,New York,city_in_notes,New York,
balagun,Kazembe Balagun,person,rls-germany,,US,New York,city_in_notes,NYC,
cea_weaver,Cea Weaver,person,rls-germany,,US,New York,city_in_notes,NYC,
chanoine,Claudette Chanoine,person,rls-germany,,US,New York,city_in_notes,NYC,
chua,Heidi Chua,person,rls-germany,,US,New York,city_in_notes,NYC,
duhalde,David Duhalde,person,rls-germany,,US,New York,city_in_notes,NYC,
dwilliams,David Williams,person,rls-germany,,US,New York,city_in_notes,NYC,
earle,Ethan Earle,person,rls-germany,,US,New York,city_in_notes,NYC,
ehmsen,Stefanie Ehmsen,person,rls-germany,,US,New York,city_in_notes,NYC; Berlin,yes
gunther,Andreas Günther,person,rls-germany,,US,New York,city_in_notes,NYC,
hub_massachusetts_bail,Massachusetts Bail Fund,org,afgj-interlock,,US,Massachusetts,city_in_notes,Massachusetts,
liebich,Stefan Liebich,person,rls-germany,,US,New York,city_in_notes,NYC,
mfernandez,Mariana Fernandez,person,rls-germany,,US,New York,city_in_notes,NYC,
ncri_report,Following the Benjamins: How a $48 Million Foundation Operated an Iran-Aligned Influence Network Outside State Oversight in Florida,concept,iran-network,,US,Florida,city_in_notes,Florida; tehran,yes
nmeyer,Neal Meyer,person,rls-germany,,US,New York,city_in_notes,NYC,
p_arizona_educators_united,Arizona Educators United,project,afgj-projects,,US,Arizona,city_in_notes,Arizona,
p_arizona_palestine_solidarity_alliance,Arizona Palestine Solidarity Alliance,project,afgj-interlock,,US,Arizona,city_in_notes,Arizona,
p_az_jobs_with_justice,AZ Jobs with Justice,project,afgj-projects,,US,Arizona,city_in_notes,AZ,
p_black_lives_matter_oklahoma_city,Black Lives Matter-Oklahoma City,project,afgj-interlock,,US,Oklahoma,city_in_notes,Oklahoma,
p_black_lives_matter_tucson,Black Lives Matter Tucson,project,afgj-projects,,US,Arizona,city_in_notes,Tucson,
p_bukit_bail_fund_of_pittsburgh,Bukit Bail Fund of Pittsburgh,project,afgj-projects,,US,Pittsburgh,city_in_notes,Pittsburgh,
p_central_ohio_freedom_fund,Central Ohio Freedom Fund,project,afgj-projects,,US,Ohio,city_in_notes,Ohio,
p_centro_solidario_de_puerto_rico,Centro Solidario de Puerto Rico,project,afgj-projects,,US,Puerto Rico,city_in_notes,Puerto Rico,
p_chicago_housing_initiative,Chicago Housing Initiative,project,afgj-interlock,,US,Chicago,city_in_notes,Chicago,
p_chicago_housing_justice_league,Chicago Housing Justice League,project,afgj-interlock,,US,Chicago,city_in_notes,Chicago,
p_colorado_freedom_fund,Colorado Freedom Fund,project,afgj-interlock,,US,Colorado,city_in_notes,Colorado,
p_denver_justice_project,Denver Justice Project,project,afgj-projects,,US,Colorado,city_in_notes,Denver,
p_erie_bail_fund,Erie Bail Fund,project,afgj-projects,,US,Erie PA,city_in_notes,Erie,
p_lancaster_bail_fund,Lancaster Bail Fund,project,afgj-projects,,US,Lancaster PA,city_in_notes,Lancaster,
p_los_angeles_community_action_network,Los Angeles Community Action Network,project,afgj-interlock,,US,Los Angeles,city_in_notes,Los Angeles,
p_philly_thrive,Philly Thrive,project,afgj-projects,,US,Philadelphia,city_in_notes,Philly,
p_real_name_campaign_nola,Real Name Campaign NOLA,project,afgj-projects,,US,New Orleans,city_in_notes,NOLA,
p_south_bronx_unite,South Bronx Unite,project,afgj-interlock,,US,New York,city_in_notes,Bronx,
p_thompson_house_tucson,Thompson House Tucson,project,afgj-interlock,,US,Arizona,city_in_notes,Tucson,
per_debra_sweet,Debra Sweet,person,afgj-interlock,,US,SF Bay Area,city_in_notes,San Francisco,
per_elisabeth_epps,Elisabeth Epps,person,afgj-interlock,,US,Colorado,city_in_notes,Colorado,
per_frank_avellone,Frank Avellone,person,afgj-interlock,,US,Chicago,city_in_notes,Chicago,
per_kristen_hackett,Kristen Hackett,person,afgj-interlock,,US,New York,city_in_notes,New York,
per_lourdes_escalante,Lourdes Escalante,person,afgj-interlock,,US,Arizona,city_in_notes,Tucson,
per_mcahl_sheffield,Mcahl Sheffield,person,afgj-interlock,,US,Chicago,city_in_notes,Chicago,
per_meghan_maurus,Meghan Maurus,person,afgj-interlock,,US,New York,city_in_notes,New York,
per_melina_abdullah,Melina Abdullah,person,afgj-interlock,,US,California; Los Angeles,city_in_notes,Los Angeles; California,
per_melissa_barber_md,"Melissa Barber, MD",person,afgj-interlock,,US,New York,city_in_notes,Bronx,
per_michael_cox,Michael Cox,person,afgj-interlock,,US,Massachusetts,city_in_notes,Massachusetts,
per_mohyeddin_abdulaziz,Mohyeddin Abdulaziz,person,afgj-interlock,,US,Arizona,city_in_notes,Arizona,
per_monxo_lopez,Monxo Lopez,person,afgj-interlock,,US,New York,city_in_notes,Bronx,
per_mychal_johnson,Mychal Johnson,person,afgj-interlock,,US,New York,city_in_notes,Bronx,
per_nate_kleinman,Nate Kleinman,person,afgj-interlock,,US,Philadelphia,city_in_notes,Philly,
per_nathan_sheard,Nathan Sheard,person,afgj-interlock,,US,Baltimore; New York; St Louis,city_in_notes,New York; Baltimore; St. Louis,
per_pablo_benson_silva,Pablo Benson-Silva,person,afgj-interlock,,US,New York,city_in_notes,New York,
per_rebecca_heinegg,Rebecca Heinegg,person,afgj-interlock,,US,New York,city_in_notes,New York,
per_rick_jahnkow,Rick Jahnkow,person,afgj-interlock,,US,California,city_in_notes,California,
per_samantha_butler,Samantha Butler,person,afgj-interlock,,US,Chicago,city_in_notes,Chicago,
per_sunny_levine,Sunny Levine,person,afgj-interlock,,US,Baltimore,city_in_notes,Baltimore,
per_tamara_shapiro,Tamara Shapiro,person,afgj-interlock,,US,New York,city_in_notes,NYC,
per_tara_thompson,Tara Thompson,person,afgj-interlock,,US,St Louis,city_in_notes,St. Louis,
per_tef_poe,Tef Poe,person,afgj-interlock,,US,St Louis,city_in_notes,St. Louis,
prashad,Vijay Prashad,person,rls-germany,,US,New York,city_in_notes,nyc; Berlin,yes
rub_macheteros,Macheteros,org,rubio-cuba,,US,Puerto Rico,city_in_notes,Puerto Rico,
rub_p_paul_larudee,Paul Larudee,person,rubio-cuba,,US,California,city_in_notes,California,
scharenberg,Albert Scharenberg,person,rls-germany,,US,New York,city_in_notes,NYC,
sunkara,Bhaskar Sunkara,person,rls-germany,,US,New York,city_in_notes,NYC,
svart,Maria Svart,person,rls-germany,,US,New York,city_in_notes,NYC,
tighe_barry,Tighe Barry,person,iran-network,,US,Washington DC,city_in_notes,DC address,
niac,National Iranian American Council (NIAC),org,iran-network,,US,US,based_phrase,US-based,
alhusseini,Ibrahim AlHusseini,person,singham-spine,,,,none,,
alvin_benjamin,Alvin Benjamin (1920-2012),person,iran-network,,,,none,,
anderson-figueroa,Jo Anderson-Figueroa,person,singham-spine,,,,none,,
ann_wright,Ann Wright,person,iran-network,,,,none,travel mention only: Tehran,
baker_carolyn,Carolyn Baker,person,singham-spine,,,,none,,
baker_gordon,General Gordon Baker Jr.,person,singham-spine,,,,none,,
baptist,William Willie Baptist Jr.,person,singham-spine,,,,none,,
belen,Matthew Matt Belen,person,singham-spine,,,,none,,
benjamin,Medea Benjamin,person,iran-network,,,,none,,
bounds,Tajee Bounds,person,singham-spine,,,,none,,
brease,Emily Brease,person,singham-spine,,,,none,,
brian_becker,Brian Becker,person,hatuey,,,,none,,
bugni,Renata Porto Bugni,person,singham-spine,,,,none,,
caruso,Christopher Chris Caruso,person,singham-spine,,,,none,,
ccr,Center for Constitutional Rights,org,iran-network,,,,none,,
chak,Tings Chak,person,singham-spine,,,,none,,
chung,David Sung Mo Chung,person,singham-spine,,,,none,,
conway,Marshall Eddie Conway,person,singham-spine,,,,none,,
cook,Claire Cook,person,singham-spine,,,,none,,
craig,Hannah Priscilla Craig,person,singham-spine,,,,none,,
croce,STEIN-DELLA CROCE,person,singham-spine,,,,none,,
danaher,Maya (Mandela) Danaher,person,iran-network,,,,none,,
deborah_benjamin,Deborah Coyle Benjamin,person,iran-network,,,,none,,
ensler,Eve Ensler,person,singham-spine,,,,none,,
evans,Jodie Evans,person,iran-network,,,,none,,
fernandes,Marco Fernandes,person,singham-spine,,,,none,,
garcia,Karina Garcia,person,hatuey,,,,none,,
ghost_officers,Ghost Officers (5 unidentified signers),concept,iran-network,,,,none,,
gonzales,Kate Gonzales,person,singham-spine,,,,none,,
goodwin,Alicia Thilani Singham Goodwin,person,singham-spine,,,,none,,
grenyion,Kristen Grenyion,person,singham-spine,,,,none,,
hamby,Ryan Hamby,person,singham-spine,,,,none,,
hatuey,The Hatuey Project,project,hatuey,,,,none,,
henderson,Rita Henderson,person,singham-spine,,,,none,,
hrizi,Nathalie Patricia Hrizi,person,singham-spine,,,,none,,
hu,Rachel Hu,person,singham-spine,,,,none,,
hub_andira_alves,Andira Alves,person,afgj-interlock,,,,none,,
hub_autonomous_tenants_union,Autonomous Tenants Union,org,afgj-interlock,,,,none,,
hub_communities_united,Communities United,org,afgj-interlock,,,,none,,
hub_dead_prez,Dead Prez,org,afgj-interlock,,,,none,,
hub_dream_defenders,Dream Defenders,org,afgj-interlock,,,,none,,
hub_green_party,Green Party,org,afgj-interlock,,,,none,,
hub_green_shadow_cabinet,Green Shadow Cabinet,org,afgj-interlock,,,,none,,
hub_ifnotnow,IfNotNow,org,afgj-interlock,,,,none,,
hub_lawyers_better_housing,Lawyers’ Committee for Better Housing,org,afgj-interlock,,,,none,,
hub_leni_villag_mez_reeves,Leni Villagómez Reeves,person,afgj-interlock,,,,none,,
hub_military_families_speak_out,Military Families Speak Out,org,afgj-interlock,,,,none,,
hub_mott_haven_port_morris_community_land_st,Mott Haven-Port Morris Community Land Stewards,org,afgj-interlock,,,,none,,
hub_movement_netlab,Movement NetLab,org,afgj-interlock,,,,none,,
hub_occupy_sandy,Occupy Sandy,org,afgj-interlock,,,,none,,
hub_occupy_wall_street,Occupy Wall Street,org,afgj-interlock,,,,none,,
hub_opposed_to_militarism_draft,Committee Opposed to Militarism & the Draft,org,afgj-interlock,,,,none,,
hub_revolutionary_communist_party_usa,"Revolutionary Communist Party, USA",org,afgj-interlock,,,,none,,
hub_talib_kweli,Talib Kweli,person,afgj-interlock,,,,none,,
hub_trans_justice_funding,Trans Justice Funding Project,org,afgj-interlock,,,,none,,
hub_will_kohr,Will Kohr,person,afgj-interlock,,,,none,,
hub_women_in_black,Women in Black,org,afgj-interlock,,,,none,,
hub_women_s_march,Women’s March,org,afgj-interlock,,,,none,,
inv_juan_ruiz_rivera_brigade,"""Juan Ruiz Rivera"" Puerto Rican Solidarity Brigade",org,rubio-cuba,,,,none,,
irgens_moller,Kirsten Irgens-Moller,person,iran-network,,,,none,,
janequine,Olivia Goncalves Janequine,person,singham-spine,,,,none,,
jonathan_raggett,Jonathan 'Jonny' Raggett,person,iran-network,,,,none,,
jvp,Jewish Voice for Peace (JVP),org,iran-network,,,,none,,
khalek,Rania Abdul Khalek,person,singham-spine,,,,none,,
kleiner,Franziska Kleiner,person,singham-spine,,,,none,,
kramer,Marian Kramer,person,singham-spine,,,,none,,
lariva,Gloria La Riva,person,afgj-interlock,,,,none,,
leila_zand,Leila Zand,person,iran-network,,,,none,,
lowengard,Elizabeth Lowengard,person,singham-spine,,,,none,,
luvela,Smangele Luvela,person,singham-spine,,,,none,,
ma,"Simon Ma, MD, MPH",person,afgj-interlock,,,,none,,
marsh,"Nadia Marsh, MD",person,afgj-interlock,,,,none,,
mcalevey,Jane McAlevey,person,rls-germany,,,,none,,
mccarthy,Bobbette McCarthy,person,singham-spine,,,,none,,
minsap,MINSAP (Cuban Health Ministry),org,hatuey,,,,none,,
moseley,Saidi Moseley,person,singham-spine,,,,none,,
o4p,Organizing for Power (O4P),project,rls-germany,,,,none,,
p_411_collective,411 Collective,project,afgj-projects,,,,none,,
p_action_bail_fund,Action Bail Fund,project,afgj-projects,,,,none,,
p_adastra,AdAstra,project,afgj-interlock,,,,none,,
p_african_awareness_association,African Awareness Association,project,afgj-projects,,,,none,,
p_alianza_ind_gena_sin_fronteras_indigen,Alianza Indígena Sin Fronteras / Indigenous Alliance Without Borders,project,afgj-interlock,,,,none,,
p_amigos_de_la_playa,Amigos de la Playa,project,afgj-projects,,,,none,,
p_asotrecol,ASOTRECOL,project,afgj-projects,,,,none,,
p_beef_relief,Beef Relief,project,afgj-projects,,,,none,,
p_black_and_pink_ma,Black and Pink MA,project,afgj-interlock,,,,none,,
p_black_movement_law_project,Black Movement Law Project,project,afgj-interlock,,,,none,,
p_black_trans_media,Black Trans Media,project,afgj-projects,,,,none,,
p_black_trans_travel_fund,Black Trans Travel Fund,project,afgj-interlock,,,,none,,
p_bv_solidarity_project,BV Solidarity Project,project,afgj-projects,,,,none,,
p_camino_com_n,Camino Común,project,afgj-projects,,,,none,,
p_centro_de_derechos_humanos_del_pac_fic,Centro de Derechos Humanos del Pacífico (Centro Pazífico),project,afgj-projects,,,,none,,
p_change_links_newspaper,Change-Links Newspaper,project,afgj-interlock,,,,none,,
p_chico_mendes_reforestation_project,Chico Mendes Reforestation Project,project,afgj-projects,,,,none,,
p_cindy_sheehan_s_soapbox,Cindy Sheehan’s Soapbox,project,afgj-interlock,,,,none,,
p_clean_up_the_mines,Clean up the Mines,project,afgj-projects,,,,none,,
p_coalition_of_women_for_peace,Coalition of Women for Peace,project,afgj-interlock,,,,none,,
p_community_action_relief_project,Community Action Relief Project,project,afgj-projects,,,,none,,
p_corporate_genome_project,Corporate Genome Project,project,afgj-interlock,,,,none,,
p_creating_a_more_beloved_community_film,Creating a More Beloved Community Film & Discussion Series,project,afgj-projects,,,,none,,
p_eritye_papa_desalin,Eritye Papa Desalin,project,afgj-projects,,,,none,,
p_free_mumia_abu_jamal_coalition,Free Mumia Abu-Jamal Coalition,project,afgj-projects,,,,none,,
p_friends_of_asociaci_n_de_trabajadores_,Friends of Asociación de Trabajadores Campesinos,project,afgj-interlock,,,,none,,
p_friends_of_gente_de_i_itoi_a_c,"Friends of Gente de I’itoi, A.C.",project,afgj-projects,,,,none,,
p_friends_of_mujeres_de_la_tierra,Friends of Mujeres de la Tierra,project,afgj-projects,,,,none,,
p_gno_interfaith_sanctuary_coalition,GNO Interfaith Sanctuary Coalition,project,afgj-projects,,,,none,,
p_good_shepherd_collective,Good Shepherd Collective,project,afgj-projects,,,,none,,
p_hampshire_college_legal_support_fund,Hampshire College Legal Support Fund,project,afgj-projects,,,,none,,
p_hands_up_united,Hands Up United,project,afgj-interlock,,,,none,,
p_honduras_solidarity_network,Honduras Solidarity Network,project,afgj-projects,,,,none,,
p_human_rights_school,Human Rights School,project,afgj-projects,,,,none,,
p_initiative_for_equality,Initiative for Equality,project,afgj-projects,,,,none,,
