id,label,kind,layer,primary_slice,n_slices,unique_neighbors,edge_count,degree_rank,betweenness,betweenness_rank
p_hands_up_united,Hands Up United,project,veneer,afgj-interlock,2,5,5,87,2971.0,22
p_just_info,Just Info,project,party,afgj-interlock,2,5,5,88,1119.8,53
p_national_network_opposing_the_militari,National Network Opposing the Militarization of Youth,project,veneer,afgj-interlock,2,5,5,89,2527.8,25
per_cornel_west,Cornel West,person,party,afgj-interlock,1,5,6,90,335.9,128
pi,Progressive International,org,party,rls-germany,1,5,6,91,734.3,78
press_tv,Press TV,org,state,iran-network,1,5,6,92,104.9,193
rls_berlin,Rosa-Luxemburg-Stiftung e.V. (Berlin),org,state,rls-germany,1,5,5,93,1944.5,34
rub_black_liberation_army,Black Liberation Army,org,context,rubio-cuba,1,5,6,94,45.3,214
rub_black_lives_matter_global,Black Lives Matter Global Network Foundation,org,context,rubio-cuba,1,5,5,95,515.2,99
rub_democratic_front_for_the_l,Democratic Front for the Liberation of Palestine,org,terror,rubio-cuba,1,5,5,96,114.8,186
rub_may_19th_communist_organiz,May 19th Communist Organization,org,context,rubio-cuba,1,5,8,97,106.2,192
rub_palestinian_islamic_jihad,Palestinian Islamic Jihad,org,terror,rubio-cuba,1,5,5,98,177.8,162
rub_students_for_a_democratic,Students for a Democratic Society,org,context,rubio-cuba,1,5,6,99,419.0,120
tfa,Task Force on the Americas,org,veneer,latam-solidarity,1,5,5,100,363.9,127
tighe_barry,Tighe Barry,person,context,iran-network,2,5,5,101,524.4,98
zarif,Mohammad Javad Zarif,person,state,iran-network,1,5,6,102,94.1,196
ann_wright,Ann Wright,person,context,iran-network,1,4,6,103,0.0,292
chak,Tings Chak,person,party,singham-spine,1,4,4,104,104.0,194
earle,Ethan Earle,person,money,rls-germany,1,4,4,105,1832.8,37
ev_fsp_caracas_2019,25th Foro de São Paulo (Caracas 2019),concept,state,latam-solidarity,1,4,4,106,103.7,195
ev_nica_delegation_2021,AFGJ Intl Delegation to Nicaragua (Jul 2021),concept,state,latam-solidarity,1,4,4,107,3.2,265
fsp,Foro de São Paulo,concept,state,latam-solidarity,1,4,4,108,610.7,85
hub_andira_alves,Andira Alves,person,party,afgj-interlock,1,4,4,109,0.0,331
hub_lawyers_better_housing,Lawyers’ Committee for Better Housing,org,party,afgj-interlock,1,4,4,110,1.3,277
jacobin,Jacobin,org,veneer,rls-germany,2,4,4,111,1642.3,40
p_adastra,AdAstra,project,party,afgj-interlock,2,4,4,112,1757.2,38
p_cindy_sheehan_s_soapbox,Cindy Sheehan’s Soapbox,project,veneer,afgj-interlock,2,4,4,113,649.0,83
p_kevin_zeese_emerging_activists_fund,Kevin Zeese Emerging Activists Fund,project,veneer,afgj-interlock,2,4,4,114,235.9,152
p_kindred_connections,Kindred Connections,project,veneer,afgj-interlock,2,4,4,115,1996.0,32
p_march_4_racial_justice,March 4 Racial Justice,project,party,afgj-interlock,2,4,4,116,1005.4,61
p_movement_net_lab,Movement Net Lab,project,veneer,afgj-interlock,2,4,4,117,877.7,67
p_queer_food_foundation,Queer Food Foundation,project,veneer,afgj-interlock,2,4,4,118,1503.0,42
p_south_bronx_unite,South Bronx Unite,project,veneer,afgj-interlock,2,4,4,119,1997.5,31
p_taking_black_pride,Taking Black Pride,project,veneer,afgj-interlock,2,4,4,120,1001.5,65
p_youth_vs_apocalypse,Youth Vs Apocalypse,project,veneer,afgj-interlock,2,4,4,121,1987.7,33
per_banbose_shango,Banbose Shango,person,veneer,afgj-interlock,1,4,5,122,42.2,215
per_carl_dix,Carl Dix,person,party,afgj-interlock,1,4,7,123,5.3,259
per_cheri_honkala,Cheri Honkala,person,veneer,afgj-interlock,1,4,4,124,82.2,202
per_dakotah_lilly,Dakotah Lilly,person,veneer,afgj-interlock,1,4,4,125,12.1,241
per_t_loving,T Loving,person,veneer,afgj-interlock,1,4,4,126,250.5,143
per_tamara_shapiro,Tamara Shapiro,person,veneer,afgj-interlock,1,4,4,127,217.8,156
per_vik_velazquez_morales,Vikó Velazquez Morales,person,veneer,afgj-interlock,1,4,4,128,250.5,144
puf,Progress Unity Fund,org,party,singham-spine,1,4,5,129,513.3,100
rub_hezbollah,Hezbollah,org,terror,rubio-cuba,1,4,4,130,397.7,124
rub_p_antonio_guerrero,Antonio Guerrero,person,state,rubio-cuba,1,4,4,131,11.0,243
rub_p_bernardine_dohrn,Bernardine Dohrn,person,context,rubio-cuba,1,4,5,132,91.8,199
rub_p_gerardo_hern_ndez,Gerardo Hernández,person,state,rubio-cuba,1,4,4,133,11.0,244
rub_p_opal_tometi,Opal Tometi,person,context,rubio-cuba,1,4,5,134,387.8,125
rub_p_paul_larudee,Paul Larudee,person,context,rubio-cuba,1,4,4,135,163.5,173
rub_p_ram_n_laba_ino,Ramón Labañino,person,state,rubio-cuba,1,4,4,136,11.0,245
rub_p_ren_gonz_lez,René González,person,state,rubio-cuba,1,4,4,137,11.0,246
rub_republic_of_new_afrika,Republic of New Afrika,org,context,rubio-cuba,1,4,4,138,589.9,90
uspc,US Peace Council,org,veneer,latam-solidarity,1,4,4,139,123.5,182
alvin_benjamin,Alvin Benjamin (1920-2012),person,money,iran-network,1,3,3,140,0.0,291
baptist,William Willie Baptist Jr.,person,party,singham-spine,1,3,3,141,487.8,117
chung,David Sung Mo Chung,person,party,singham-spine,1,3,4,142,0.0,305
clarkgollub,Jill Clark-Gollub,person,veneer,latam-solidarity,1,3,3,143,2.8,269
dsa_fund,DSA Fund,org,veneer,rls-germany,1,3,3,144,16.7,234
duhalde,David Duhalde,person,veneer,rls-germany,1,3,3,145,129.9,180
ensler,Eve Ensler,person,party,singham-spine,1,3,3,146,106.8,191
ev_ipa_founding_2019,IPA Founding Assembly (Caracas Feb 2019),concept,state,latam-solidarity,1,3,3,147,6.3,258
ev_maduro_inaug_2025,Maduro 3rd Inauguration (Jan 10 2025),concept,state,latam-solidarity,1,3,3,148,185.9,160
ev_wfys_2005,16th World Festival of Youth & Students (Caracas 2005),concept,state,latam-solidarity,1,3,3,149,502.0,104
friendsatc,Friends of the ATC,org,party,latam-solidarity,1,3,3,150,451.0,118
frso,Freedom Road Socialist Organization,org,party,latam-solidarity,1,3,3,151,554.8,96
gbi,General Baker Institute,org,party,singham-spine,1,3,4,152,598.1,89
hrizi,Nathalie Patricia Hrizi,person,party,singham-spine,1,3,3,153,311.2,131
hu,Rachel Hu,person,money,singham-spine,1,3,3,154,502.0,105
hub_communities_united,Communities United,org,party,afgj-interlock,1,3,3,155,0.3,285
hub_green_shadow_cabinet,Green Shadow Cabinet,org,party,afgj-interlock,1,3,3,156,22.4,226
hub_ifnotnow,IfNotNow,org,party,afgj-interlock,1,3,3,157,115.2,185
hub_military_families_speak_out,Military Families Speak Out,org,party,afgj-interlock,1,3,3,158,28.3,222
hub_mott_haven_port_morris_community_land_st,Mott Haven-Port Morris Community Land Stewards,org,party,afgj-interlock,1,3,3,159,1.5,275
hub_movement_netlab,Movement NetLab,org,party,afgj-interlock,1,3,3,160,12.2,240
hub_opposed_to_militarism_draft,Committee Opposed to Militarism & the Draft,org,party,afgj-interlock,1,3,3,161,1.5,276
hub_will_kohr,Will Kohr,person,party,afgj-interlock,1,3,3,162,0.0,335
hub_women_in_black,Women in Black,org,party,afgj-interlock,1,3,4,163,0.5,283
hub_women_s_march,Women’s March,org,party,afgj-interlock,1,3,3,164,6.8,256
iran_foreign_ministry,Iranian Ministry of Foreign Affairs,org,state,iran-network,1,3,3,165,3.1,266
kuang,Savannah Kuang,person,veneer,latam-solidarity,1,3,3,166,93.7,198
leila_zand,Leila Zand,person,context,iran-network,1,3,3,167,2.7,270
new_horizon,New Horizon Organization,org,state,iran-network,1,3,3,168,251.7,137
niac,National Iranian American Council (NIAC),org,context,iran-network,1,3,3,169,2.3,273
nunez,Marlon Matthew Nunez,person,veneer,latam-solidarity,1,3,3,170,19.6,229
o4p,Organizing for Power (O4P),project,money,rls-germany,1,3,3,171,502.0,106
p_alianza_ind_gena_sin_fronteras_indigen,Alianza Indígena Sin Fronteras / Indigenous Alliance Without Borders,project,state,afgj-interlock,2,3,3,172,1003.0,63
p_black_lives_matter_oklahoma_city,Black Lives Matter-Oklahoma City,project,party,afgj-interlock,2,3,3,173,1057.9,57
p_black_movement_law_project,Black Movement Law Project,project,veneer,afgj-interlock,2,3,3,174,163.8,172
p_black_trans_media,Black Trans Media,project,veneer,afgj-projects,1,3,3,175,605.5,87
p_black_trans_travel_fund,Black Trans Travel Fund,project,veneer,afgj-interlock,2,3,3,176,605.5,88
p_change_links_newspaper,Change-Links Newspaper,project,party,afgj-interlock,2,3,3,177,1057.4,58
p_chicago_housing_initiative,Chicago Housing Initiative,project,veneer,afgj-interlock,2,3,3,178,1003.0,64
p_honduras_solidarity_network,Honduras Solidarity Network,project,state,afgj-projects,1,3,3,179,87.9,201
p_orinoco_tribune,Orinoco Tribune,project,state,afgj-interlock,2,3,3,180,580.5,92
p_poor_people_s_economic_human_rights_ca,Poor People’s Economic Human Rights Campaign,project,veneer,afgj-interlock,2,3,3,181,526.2,97
p_stop_mass_incarceration_network,Stop Mass Incarceration Network,project,party,afgj-interlock,2,3,5,182,606.1,86
p_trans_women_of_color_solidarity_networ,Trans Women of Color Solidarity Network,project,veneer,afgj-interlock,2,3,3,183,499.5,116
pel,Party of the European Left,org,party,rls-germany,1,3,3,184,1054.6,59
per_allen_kwabena_frimpong,Allen Kwabena Frimpong,person,party,afgj-interlock,1,3,3,185,197.2,158
per_andrea_ciannavei,Andrea Ciannavei,person,party,afgj-interlock,1,3,3,186,10.2,247
per_debra_sweet,Debra Sweet,person,party,afgj-interlock,1,3,3,187,2.9,267
per_diane_limas,Diane Limas,person,veneer,afgj-interlock,1,3,3,188,0.3,287
per_elaine_brower,Elaine Brower,person,state,afgj-interlock,1,3,3,189,111.5,190
per_elisabeth_epps,Elisabeth Epps,person,veneer,afgj-interlock,1,3,3,190,328.3,129
per_frank_avellone,Frank Avellone,person,veneer,afgj-interlock,1,3,3,191,0.3,288
per_khafre_jay,Khafre Jay,person,veneer,afgj-interlock,1,3,3,192,502.0,115
per_mirely_baca,Mirely Baca,person,veneer,afgj-interlock,1,3,3,193,0.0,441
per_nate_kleinman,Nate Kleinman,person,party,afgj-interlock,1,3,3,194,0.2,289
per_nathan_sheard,Nathan Sheard,person,veneer,afgj-interlock,1,3,3,195,2.5,272
per_pablo_benson_silva,Pablo Benson-Silva,person,veneer,afgj-interlock,1,3,3,196,3.3,264
per_rachel_o_leary_carmona,Rachel O'Leary Carmona,person,party,afgj-interlock,1,3,3,197,269.6,135
per_sunsara_taylor,Sunsara Taylor,person,party,afgj-interlock,1,3,3,198,0.0,449
per_tara_thompson,Tara Thompson,person,veneer,afgj-interlock,1,3,3,199,247.8,145
rose_benjamin,Rose Benjamin,person,money,iran-network,1,3,3,200,0.0,458
rub_fair_play_for_cuba_committ,Fair Play for Cuba Committee,org,context,rubio-cuba,1,3,3,201,220.9,155
rub_international_may_day_brig,International May Day Brigade,org,money,rubio-cuba,1,3,3,202,22.0,227
rub_p_angela_davis,Angela Davis,person,context,rubio-cuba,1,3,3,203,29.2,220
rub_p_bill_ayers,Bill Ayers,person,context,rubio-cuba,1,3,4,204,51.4,208
rub_p_kathy_boudin,Kathy Boudin,person,context,rubio-cuba,1,3,3,205,46.0,212
rub_p_onyesonwu_chatoyer,Onyesonwu Chatoyer,person,money,rubio-cuba,1,3,3,206,13.7,239
rub_palestine_liberation_organ,Palestine Liberation Organization,org,terror,rubio-cuba,1,3,3,207,0.0,489
rub_thousand_currents,Thousand Currents,org,context,rubio-cuba,1,3,3,208,688.5,81
sunkara,Bhaskar Sunkara,person,veneer,rls-germany,1,3,3,209,17.7,233
theoharis,Rev. Dr. Elizabeth Armen Liz Theoharis,person,party,singham-spine,1,3,3,210,195.5,159
xiao,Sheila Xiao,person,party,singham-spine,1,3,3,211,29.7,218
albamov,ALBA Movimientos,concept,state,latam-solidarity,1,2,2,212,0.5,282
alhusseini,Ibrahim AlHusseini,person,party,singham-spine,1,2,2,213,502.0,102
anderson-figueroa,Jo Anderson-Figueroa,person,party,singham-spine,1,2,2,214,36.4,217
atc,ATC — Asociación de Trabajadores del Campo,org,state,latam-solidarity,1,2,2,215,19.1,231
baker_gordon,General Gordon Baker Jr.,person,party,singham-spine,1,2,2,216,403.9,123
balagun,Kazembe Balagun,person,money,rls-germany,1,2,2,217,502.0,103
belen,Matthew Matt Belen,person,party,singham-spine,1,2,2,218,0.0,295
bello,Walden Bello,person,party,rls-germany,1,2,2,219,70.2,204
bertoldi,Manuel Bertoldi,person,state,latam-solidarity,1,2,2,220,250.5,139
bounds,Tajee Bounds,person,party,singham-spine,1,2,2,221,9.3,250
bugni,Renata Porto Bugni,person,money,singham-spine,1,2,2,222,7.0,255
burke,Tom Burke,person,party,latam-solidarity,1,2,2,223,0.0,299
camacaro,William Camacaro,person,veneer,latam-solidarity,1,2,2,224,0.0,301
caruso,Christopher Chris Caruso,person,party,singham-spine,1,2,2,225,224.5,154
ccr,Center for Constitutional Rights,org,money,iran-network,1,2,2,226,46.0,211
cea_weaver,Cea Weaver,person,veneer,rls-germany,1,2,2,227,0.0,302
chua,Heidi Chua,person,money,rls-germany,1,2,2,228,0.0,304
cook,Claire Cook,person,party,singham-spine,1,2,2,229,29.4,219
craig,Hannah Priscilla Craig,person,party,singham-spine,1,2,2,230,9.3,251
croce,STEIN-DELLA CROCE,person,party,singham-spine,1,2,2,231,9.8,248
danaher,Maya (Mandela) Danaher,person,money,iran-network,1,2,2,232,0.0,310
estrada,Paola Estrada,person,state,latam-solidarity,1,2,2,233,250.5,140
ev_nica_election_2021,Nicaragua General Election (Nov 2021),concept,state,latam-solidarity,1,2,2,234,0.0,316
gunther,Andreas Günther,person,money,rls-germany,1,2,2,235,146.3,175
henderson,Rita Henderson,person,party,singham-spine,1,2,2,236,9.8,249
hispantv,HispanTV,org,state,iran-network,1,2,2,237,0.0,328
hoyt,Katherine Hoyt,person,veneer,latam-solidarity,1,2,3,238,0.0,329
hub_dead_prez,Dead Prez,org,party,afgj-interlock,1,2,2,239,4.4,261
hub_dream_defenders,Dream Defenders,org,party,afgj-interlock,1,2,2,240,0.0,333
hub_massachusetts_bail,Massachusetts Bail Fund,org,party,afgj-interlock,1,2,2,241,2.5,271
hub_talib_kweli,Talib Kweli,person,party,afgj-interlock,1,2,2,242,4.4,262
hub_trans_justice_funding,Trans Justice Funding Project,org,party,afgj-interlock,1,2,2,243,0.0,334
ips,Institute for Policy Studies,org,veneer,rls-germany,2,2,2,244,13.9,238
irgc,Islamic Revolutionary Guard Corps (IRGC),org,state,iran-network,1,2,2,245,7.9,254
irgens_moller,Kirsten Irgens-Moller,person,money,iran-network,1,2,2,246,0.0,337
jordan,James Patrick Jordan,person,veneer,latam-solidarity,1,2,3,247,0.0,340
kleiner,Franziska Kleiner,person,party,singham-spine,1,2,2,248,26.4,224
kovalik,Dan Kovalik,person,veneer,latam-solidarity,1,2,2,249,0.0,343
kramer,Marian Kramer,person,party,singham-spine,1,2,3,250,2.0,274
liebich,Stefan Liebich,person,money,rls-germany,1,2,2,251,146.3,176
nmeyer,Neal Meyer,person,money,rls-germany,1,2,2,252,0.0,353
p_arizona_educators_united,Arizona Educators United,project,veneer,afgj-projects,1,2,2,253,1331.2,47
p_black_and_pink_ma,Black and Pink MA,project,veneer,afgj-interlock,2,2,2,254,744.0,75
p_colorado_freedom_fund,Colorado Freedom Fund,project,veneer,afgj-interlock,2,2,2,255,504.8,101
p_corporate_genome_project,Corporate Genome Project,project,veneer,afgj-interlock,2,2,2,256,250.5,141
p_friends_of_asociaci_n_de_trabajadores_,Friends of Asociación de Trabajadores Campesinos,project,state,afgj-interlock,2,2,2,257,246.5,147
p_good_shepherd_collective,Good Shepherd Collective,project,veneer,afgj-projects,1,2,2,258,408.3,122
p_instituto_agroecol_gico_latinoamerican,Instituto Agroecológico Latinoamericano–Mesoamericana (IALA Mesoamerica),project,state,afgj-interlock,2,2,2,259,502.0,107
p_international_people_s_tribunal,International People’s Tribunal,project,state,afgj-projects,1,2,2,260,0.0,384
p_justice_for_all_coalition,Justice for All Coalition,project,veneer,afgj-interlock,2,2,2,261,502.0,108
p_labor_against_racism_and_war,Labor Against Racism and War,project,party,afgj-projects,1,2,2,262,1331.2,48
p_los_angeles_community_action_network,Los Angeles Community Action Network,project,state,afgj-interlock,2,2,2,263,502.0,109
p_nappy_roots_books,Nappy Roots Books,project,veneer,afgj-interlock,2,2,2,264,0.0,397
p_national_immigrant_solidarity_network,National Immigrant Solidarity Network,project,state,afgj-projects,1,2,2,265,1060.7,56
p_never_again_action,Never Again Action,project,veneer,afgj-interlock,2,2,2,266,555.9,95
p_people_helping_people,People Helping People,project,veneer,afgj-projects,1,2,2,267,0.0,403
p_real_food_generation,Real Food Generation,project,veneer,afgj-interlock,2,2,2,268,250.5,142
p_splitseed_productions,SplitSeed Productions,project,veneer,afgj-interlock,2,2,2,269,241.9,149
p_sustainable_orphanages_for_haitian_you,Sustainable Orphanages for Haitian Youth,project,state,afgj-interlock,2,2,2,270,283.7,134
p_thompson_house_tucson,Thompson House Tucson,project,veneer,afgj-interlock,2,2,2,271,502.0,110
p_united_students_against_sweatshops,United Students Against Sweatshops,project,state,afgj-interlock,2,2,2,272,114.4,188
p_werk_for_peace,WERK for Peace,project,veneer,afgj-interlock,2,2,2,273,660.4,82
per_abraham_hassen,Abraham Hassen,person,veneer,afgj-interlock,1,2,2,274,2.8,268
per_alyssa_rubin,Alyssa Rubin,person,veneer,afgj-interlock,1,2,2,275,114.0,189
per_antonio_gutierrez,Antonio Gutierrez,person,veneer,afgj-interlock,1,2,2,276,502.0,111
per_aquib_s_yacoob,Aquib S. Yacoob,person,party,afgj-interlock,1,2,2,277,165.6,171
per_devin_michael_lowe,Devin Michael Lowe,person,veneer,afgj-interlock,1,2,2,278,0.3,286
per_erika_takeo,Erika Takeo,person,state,afgj-interlock,1,2,2,279,0.8,279
per_firas_nasr,Firas Nasr,person,veneer,afgj-interlock,1,2,2,280,166.2,170
per_gary_ghirardi,Gary Ghirardi,person,veneer,afgj-interlock,1,2,2,281,166.7,164
per_gila_svirsky,Gila Svirsky,person,state,afgj-interlock,1,2,2,282,0.0,429
per_hannah_safran,Hannah Safran,person,state,afgj-interlock,1,2,2,283,0.0,430
per_joan_donovan,Joan Donovan,person,party,afgj-interlock,1,2,2,284,0.0,431
per_lourdez,Lourdez,person,veneer,afgj-interlock,1,2,2,285,0.7,280
per_makayla_heiser,Makayla Heiser,person,state,afgj-interlock,1,2,2,286,19.4,230
per_mark_swartz,Mark Swartz,person,veneer,afgj-interlock,1,2,2,287,0.0,436
per_mattie,Mattie,person,veneer,afgj-interlock,1,2,2,288,0.7,281
per_maurice_cook,Maurice Cook,person,party,afgj-interlock,1,2,2,289,37.2,216
per_meghan_maurus,Meghan Maurus,person,party,afgj-interlock,1,2,2,290,8.3,253
per_melissa_barber_md,"Melissa Barber, MD",person,veneer,afgj-interlock,1,2,2,291,166.7,165
per_michael_cox,Michael Cox,person,veneer,afgj-interlock,1,2,2,292,246.5,146
per_michael_novick,Michael Novick,person,party,afgj-interlock,1,2,2,293,117.0,184
per_monxo_lopez,Monxo Lopez,person,veneer,afgj-interlock,1,2,2,294,166.7,166
per_mychal_johnson,Mychal Johnson,person,veneer,afgj-interlock,1,2,2,295,166.7,167
per_oren_robinson,Oren Robinson,person,veneer,afgj-interlock,1,2,2,296,166.7,168
per_page_may,Page May,person,party,afgj-interlock,1,2,2,297,0.0,444
per_pat_alviso,Pat Alviso,person,veneer,afgj-interlock,1,2,2,298,59.9,206
per_rebecca_heinegg,Rebecca Heinegg,person,party,afgj-interlock,1,2,2,299,3.5,263
per_rick_jahnkow,Rick Jahnkow,person,veneer,afgj-interlock,1,2,2,300,166.7,169
per_samantha_parsons,Samantha Parsons,person,veneer,afgj-interlock,1,2,2,301,0.5,284
per_t_sheri_dickerson,T. Sheri Dickerson,person,party,afgj-interlock,1,2,2,302,256.0,136
